Blue,Green,Red,NIR,SWIR-1,SWIR-2,Landcover
0.0579,0.079,0.0681,0.2388,0.2091,0.1247,10
0.072,0.0952,0.0689,0.3624,0.206,0.0942,10
0.0538,0.07145,0.05405,0.2923,0.1986,0.1123,10
0.05125,0.06225,0.0541,0.1789,0.14645,0.09875,10
0.0827,0.105,0.0859,0.3474,0.2501,0.1297,10
0.0444,0.0653,0.054,0.2098,0.1648,0.0869,10
0.0707,0.0997,0.1036,0.2484,0.2414,0.1751,10
0.0484,0.06855,0.05625,0.2538,0.17735,0.09295,10
0.0481,0.0688,0.0642,0.2216,0.1831,0.1069,10
0.0734,0.1048,0.08195,0.2354,0.16735,0.1029,10
0.0535,0.0753,0.0688,0.2542,0.1978,0.1214,10
0.0902,0.0985,0.1002,0.1628,0.1847,0.1395,10
0.0535,0.0733,0.0769,0.1908,0.0952,0.0601,10
0.0545,0.0801,0.063,0.2376,0.1997,0.1226,10
0.058,0.0715,0.065,0.2288,0.1709,0.1146,10
0.0447,0.0592,0.0424,0.2618,0.1675,0.0828,10
0.0393,0.0614,0.0412,0.2588,0.1614,0.0764,10
0.0594,0.0788,0.0513,0.364,0.2282,0.1058,10
0.0523,0.0753,0.0902,0.2292,0.2278,0.1281,10
0.0446,0.06245,0.05355,0.2416,0.1599,0.10515,10
0.0416,0.0633,0.0439,0.2178,0.1626,0.0786,10
0.0689,0.0896,0.102,0.2308,0.2188,0.1392,10
0.0502,0.06705,0.06545,0.1779,0.16585,0.1016,10
0.0474,0.0683,0.0426,0.2932,0.1647,0.0786,10
0.0478,0.07155,0.04435,0.3108,0.20245,0.0977,10
0.0679,0.0749,0.06325,0.1662,0.1701,0.1173,10
0.0539,0.0687,0.0592,0.1814,0.1448,0.0984,10
0.0592,0.0813,0.0642,0.2498,0.1732,0.0872,10
0.0403,0.0606,0.0389,0.2866,0.1978,0.0936,10
0.0429,0.05995,0.04585,0.2448,0.1737,0.08335,10
0.0437,0.0594,0.0512,0.222,0.1615,0.0868,10
0.03905,0.0614,0.04125,0.2557,0.16845,0.0885,10
0.0463,0.0601,0.0459,0.2078,0.1335,0.0713,10
0.0572,0.0814,0.0825,0.2258,0.2224,0.1482,10
0.04515,0.06865,0.04395,0.2651,0.18505,0.0933,10
0.0621,0.0844,0.0816,0.2194,0.1656,0.1098,10
0.0395,0.0647,0.0406,0.2622,0.1975,0.1051,10
0.04845,0.0722,0.0595,0.2788,0.1806,0.0993,10
0.04355,0.064,0.0462,0.2314,0.1527,0.07815,10
0.062,0.0824,0.0809,0.2044,0.2206,0.1355,10
0.0612,0.0811,0.0907,0.1842,0.1887,0.1331,10
0.0576,0.0781,0.0518,0.3728,0.2175,0.099,10
0.0532,0.0747,0.0602,0.2646,0.1872,0.1081,10
0.0525,0.0654,0.0425,0.3326,0.1823,0.0878,10
0.0594,0.0773,0.0718,0.185,0.1774,0.1177,10
0.0644,0.0857,0.0894,0.2146,0.202,0.139,10
0.05105,0.06695,0.06275,0.2396,0.19405,0.11645,10
0.0384,0.0545,0.0372,0.2482,0.1514,0.0659,10
0.0484,0.0653,0.0563,0.2216,0.1964,0.1169,10
0.0626,0.0858,0.09395,0.2126,0.1981,0.13995,10
0.0661,0.0884,0.0816,0.281,0.2389,0.1605,10
0.0679,0.0819,0.0537,0.3282,0.1926,0.0897,10
0.0492,0.0691,0.0572,0.2834,0.1989,0.1087,10
0.0395,0.058,0.0397,0.2666,0.1555,0.0664,10
0.0372,0.05455,0.0397,0.2233,0.16595,0.07805,10
0.071,0.0846,0.0835,0.2072,0.1788,0.1189,10
0.0524,0.0713,0.0582,0.222,0.1859,0.0993,10
0.0421,0.06005,0.048,0.2236,0.1629,0.0878,10
0.0689,0.0847,0.075,0.2578,0.1605,0.0894,10
0.0547,0.0788,0.0629,0.2884,0.2152,0.1214,10
0.0557,0.0707,0.0504,0.2626,0.1784,0.0975,10
0.0519,0.06535,0.04775,0.266,0.1675,0.09645,10
0.06315,0.0774,0.06635,0.2586,0.1702,0.0979,10
0.0443,0.0651,0.0562,0.232,0.2021,0.1136,10
0.0358,0.0527,0.0433,0.2138,0.1833,0.0917,10
0.0428,0.0677,0.0524,0.2608,0.1728,0.0916,10
0.0377,0.053,0.0372,0.2445,0.16315,0.07695,10
0.0389,0.05875,0.0435,0.2496,0.174,0.08775,10
0.0506,0.0722,0.0537,0.2172,0.163,0.0948,10
0.1084,0.1112,0.089,0.3498,0.2409,0.1289,10
0.0344,0.05485,0.03475,0.2313,0.1475,0.06865,10
0.0432,0.0613,0.04565,0.2263,0.16695,0.08975,10
0.0399,0.0528,0.044,0.1814,0.1341,0.0712,10
0.0534,0.0745,0.0779,0.212,0.1857,0.1158,10
0.074,0.09385,0.06855,0.3716,0.22275,0.1116,10
0.06155,0.0854,0.09425,0.2588,0.2457,0.16025,10
0.0739,0.0854,0.08595,0.186,0.1807,0.13195,10
0.045,0.0578,0.0456,0.2308,0.1556,0.0808,10
0.0515,0.07575,0.0727,0.2811,0.21055,0.12225,10
0.0408,0.0639,0.046,0.252,0.163,0.0784,10
0.04475,0.0658,0.045,0.2716,0.16485,0.08195,10
0.0465,0.0659,0.0493,0.2056,0.1625,0.0862,10
0.0432,0.0621,0.0386,0.2846,0.1571,0.0704,10
0.07005,0.08945,0.0924,0.1702,0.15465,0.11995,10
0.058,0.0815,0.09495,0.2497,0.244,0.1651,10
0.0505,0.0763,0.0714,0.2696,0.2062,0.1284,10
0.0529,0.0713,0.0642,0.203,0.1754,0.098,10
0.054,0.0767,0.073,0.2132,0.183,0.1387,10
0.0626,0.0735,0.0634,0.1472,0.1637,0.1141,10
0.0379,0.05595,0.0491,0.1924,0.1841,0.09535,10
0.04315,0.06265,0.0462,0.2005,0.16815,0.08965,10
0.0571,0.0704,0.0602,0.2451,0.15285,0.0959,10
0.07225,0.09455,0.0642,0.3967,0.237,0.11555,10
0.0622,0.088,0.0772,0.2732,0.2163,0.1227,10
0.079,0.0951,0.0909,0.2246,0.1849,0.1187,10
0.0491,0.0755,0.0618,0.2584,0.18,0.1063,10
0.0385,0.0604,0.038,0.2928,0.1577,0.0681,10
0.04375,0.06375,0.04085,0.279,0.14805,0.06625,10
0.0484,0.0689,0.0497,0.2868,0.1844,0.0885,10
0.0518,0.07065,0.0493,0.2915,0.19805,0.09405,10
0.046,0.0739,0.0647,0.2304,0.1723,0.1027,10
0.0472,0.0634,0.0561,0.2289,0.1873,0.11505,10
0.0563,0.0811,0.0807,0.26,0.1982,0.1158,10
0.07795,0.09425,0.0956,0.1887,0.1734,0.1273,10
0.0451,0.06695,0.0544,0.2259,0.1941,0.1141,10
0.04655,0.06915,0.0514,0.2842,0.18205,0.10195,10
0.03935,0.0582,0.0386,0.257,0.16165,0.0783,10
0.04175,0.06205,0.04155,0.2256,0.15,0.07345,10
0.0463,0.0705,0.0559,0.2498,0.1935,0.104,10
0.0647,0.0815,0.0542,0.3414,0.218,0.1046,10
0.0695,0.09335,0.1091,0.2543,0.23445,0.17275,10
0.0618,0.0786,0.057,0.291,0.1822,0.0935,10
0.0517,0.073,0.068,0.2384,0.2109,0.1326,10
0.0501,0.06885,0.063,0.2538,0.19265,0.1109,10
0.0709,0.0918,0.0628,0.3442,0.2079,0.0977,10
0.0893,0.1244,0.0838,0.3174,0.1807,0.1058,10
0.0383,0.0583,0.0452,0.24,0.1832,0.088,10
0.1749,0.1412,0.1139,0.2879,0.25445,0.21575,10
0.0449,0.06315,0.04435,0.2164,0.1604,0.09505,10
0.0487,0.0648,0.0555,0.1942,0.1728,0.1008,10
0.0434,0.0611,0.0443,0.2498,0.1652,0.082,10
0.0407,0.0595,0.0387,0.2272,0.1398,0.0661,10
0.048,0.06795,0.05775,0.2298,0.18555,0.106,10
0.0586,0.0819,0.0766,0.2358,0.21,0.1353,10
0.0462,0.0663,0.0607,0.2198,0.1826,0.1267,10
0.0533,0.07785,0.05465,0.2702,0.178,0.08875,10
0.0564,0.076,0.0523,0.2674,0.1749,0.0903,10
0.06,0.0732,0.0652,0.221,0.168,0.1263,10
0.03905,0.05625,0.04495,0.2528,0.19055,0.10395,10
0.0628,0.0797,0.0668,0.2806,0.1784,0.125,10
0.0519,0.07085,0.05795,0.275,0.195,0.1162,10
0.0468,0.05955,0.05685,0.1666,0.1588,0.1012,10
0.0463,0.0694,0.0451,0.2546,0.1794,0.0949,10
0.0517,0.0691,0.0599,0.2258,0.1577,0.0934,10
0.05355,0.06805,0.0681,0.1695,0.18365,0.10725,10
0.0428,0.0713,0.0533,0.228,0.195,0.1117,10
0.0393,0.0614,0.0422,0.2736,0.1762,0.0882,10
0.0552,0.0861,0.0971,0.242,0.1915,0.1287,10
0.0465,0.056,0.0517,0.1904,0.1672,0.1068,10
0.0652,0.0817,0.0684,0.3052,0.2276,0.1156,10
0.0624,0.0861,0.0575,0.3138,0.1768,0.0833,10
0.0645,0.0768,0.0644,0.172,0.1259,0.0674,10
0.0422,0.0591,0.0396,0.2758,0.1713,0.08015,10
0.0446,0.0694,0.0554,0.2634,0.2002,0.1221,10
0.06685,0.0881,0.07635,0.1991,0.18765,0.1342,10
0.0428,0.0576,0.05075,0.1806,0.1522,0.08195,10
0.0488,0.0627,0.0439,0.2478,0.1664,0.0805,10
0.0728,0.1022,0.1121,0.2117,0.17465,0.12365,10
0.04875,0.0709,0.04945,0.2392,0.1726,0.0851,10
0.05775,0.0789,0.06885,0.2389,0.18555,0.12555,10
0.04425,0.0639,0.0441,0.2518,0.16705,0.08275,10
